Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
sugar,1002,6.40,1.76,6.20,1.47,5.30,1.63,34
snob,403,2.75,1.29,5.75,2.63,5.33,2.42,1
suicide,419,1.56,0.96,5.18,3.00,4.12,2.92,17
snow,575,6.88,2.11,5.36,2.74,5.92,2.08,59
sun,532,6.96,2.03,4.80,2.40,5.54,2.28,112
snuggle,404,7.80,1.08,4.47,2.61,5.80,2.08,4
sunlight,1003,7.00,1.52,5.60,2.35,5.40,1.85,17
social,985,6.42,1.26,5.26,2.49,5.16,2.01,380
sunrise,420,7.75,1.14,5.09,2.84,5.36,2.42,10
soft,986,6.84,1.34,5.00,2.52,6.16,1.61,61
sunset,421,6.80,2.24,4.13,2.97,5.67,2.32,14
solemn,405,4.88,1.54,3.88,1.75,4.50,2.25,12
surgery,612,3.12,2.17,5.68,2.54,2.92,2.20,6
song,987,6.38,2.16,5.38,2.52,5.67,2.06,70
surprised,422,7.07,1.94,7.80,2.27,5.87,1.96,58
soothe,988,7.42,1.12,4.53,2.91,4.68,2.38,2
suspicious,423,4.00,1.58,6.00,1.37,5.06,1.84,13
sour,989,3.65,1.66,4.95,1.79,4.80,1.54,3
swamp,1004,5.36,2.46,5.27,2.60,5.82,1.89,5
space,574,6.80,1.68,5.08,2.90,5.24,2.68,184
sweetheart,424,8.27,0.96,5.33,2.79,5.93,2.22,9
spanking,990,5.00,2.53,5.70,2.58,4.70,2.60,.
swift,1005,6.58,1.92,5.95,2.53,6.32,1.67,32
sphere,991,5.45,1.15,4.10,2.22,5.05,1.19,22
swimmer,576,6.25,1.65,4.12,2.83,5.75,1.85,.
spider,610,3.64,1.89,5.48,2.47,4.96,2.17,2
syphilis,425,1.90,1.37,4.45,3.22,3.10,2.40,.
spirit,406,7.00,1.05,5.50,2.51,4.80,2.62,182
table,426,5.30,1.06,3.10,2.69,3.90,1.66,198
spouse,407,7.57,1.28,6.38,2.40,5.85,2.19,3
talent,427,7.40,1.24,6.60,1.45,6.33,2.02,40
spray,992,5.45,1.77,4.45,2.46,5.14,1.67,16
tamper,1006,4.10,1.51,5.10,1.67,4.71,1.79,1
tank,613,5.92,1.87,4.92,1.98,5.58,1.91,12
treasure,449,8.47,0.80,7.50,1.15,6.31,2.63,4
taste,1007,6.68,1.38,5.37,2.29,5.53,1.87,59
treat,1019,7.20,1.51,5.80,1.99,5.35,1.66,26
taxi,1008,5.45,1.96,3.80,2.19,4.25,2.10,16
tree,450,6.42,1.44,2.67,1.72,5.75,2.42,59
teacher,1009,5.75,2.22,4.50,2.74,5.05,2.28,80
triumph,451,7.20,2.19,6.00,2.25,6.75,1.89,22
tease,1010,6.05,2.34,6.42,2.46,5.16,1.95,6
triumphant,452,8.80,0.56,6.36,2.90,6.87,3.02,5
tender,1011,6.57,1.25,5.10,2.10,5.33,1.74,11
trophy,453,7.90,1.20,5.80,2.04,5.90,2.42,8
tennis,540,5.88,2.11,4.40,2.43,5.72,2.03,15
trouble,454,3.75,2.53,5.91,1.92,4.64,2.06,134
tense,428,3.50,1.18,6.00,2.54,5.10,1.52,15
troubled,455,2.60,1.17,5.10,2.69,4.30,2.36,31
termite,429,3.95,1.50,4.05,2.28,4.25,1.71,.
truck,577,6.00,1.68,4.72,2.34,5.52,1.78,57
terrible,430,2.38,1.78,5.53,2.33,4.36,1.65,45
trumpet,456,5.81,1.52,5.19,2.29,4.59,2.12,7
terrific,431,8.25,1.06,5.92,3.32,7.00,2.45,5
trunk,1020,5.00,1.53,3.95,2.09,4.89,2.08,8
terrified,432,1.80,0.92,7.30,2.41,3.60,2.63,7
trust,457,5.67,2.92,5.27,2.19,5.73,2.19,52
terrorist,614,1.96,1.81,6.76,2.74,2.88,2.47,.
truth,458,7.50,1.45,4.92,2.69,6.54,2.63,126
thankful,433,6.33,2.23,4.40,2.29,5.67,1.91,6
tumor,459,3.16,2.22,5.68,2.58,4.05,2.37,17
theory,434,5.40,1.54,4.80,2.12,4.85,1.84,129
tune,1021,6.32,1.53,4.90,2.05,5.95,2.09,10
thermometer,1012,4.80,0.89,3.45,1.99,4.55,1.57,.
twilight,1022,6.83,1.79,4.94,2.36,5.56,1.72,4
thief,435,3.47,2.00,6.27,2.43,4.93,2.66,8
ugly,460,2.50,1.24,5.00,2.05,4.36,1.69,21
thorn,436,3.59,1.87,5.18,2.24,4.47,1.77,3
ulcer,461,1.92,1.38,6.33,2.93,4.33,2.71,5
thought,1013,6.00,1.64,4.81,2.29,5.67,1.68,515
umbrella,578,5.20,1.50,3.04,2.13,5.64,1.75,8
thoughtful,437,7.41,0.94,6.44,1.71,5.38,2.09,11
unfaithful,462,2.40,1.72,5.47,2.26,3.33,2.23,1
thrill,438,8.40,1.59,8.40,1.06,6.53,2.80,5
unhappy,463,1.93,1.14,4.07,2.55,2.80,1.47,26
tidy,1014,6.26,0.93,3.68,2.16,4.95,1.47,1
unit,1023,5.70,2.20,4.40,2.72,5.65,2.21,103
time,439,5.15,1.95,5.36,2.92,5.31,2.21,1599
untroubled,464,7.55,1.57,3.42,2.78,5.18,2.48,.
timid,440,3.80,1.42,3.07,1.49,3.20,1.86,5
upset,465,2.00,1.22,5.38,2.87,4.31,2.24,14
tobacco,441,3.40,2.27,4.60,3.63,3.60,2.17,19
urine,617,2.84,1.68,4.16,2.41,5.08,1.80,1
tomb,442,3.44,1.90,4.35,2.76,4.25,2.11,11
useful,466,6.76,1.89,4.35,2.32,5.82,2.21,58
tool,1015,5.50,1.24,4.80,1.85,6.40,1.47,40
useless,467,2.73,1.62,5.18,2.82,5.09,2.07,17
toothache,443,2.00,1.13,5.83,2.62,4.50,2.43,.
utensil,1024,4.91,1.69,3.73,2.05,5.82,1.79,.
tornado,444,3.17,2.21,6.33,2.74,5.42,2.50,1
vacation,468,7.73,1.58,4.73,3.08,6.40,1.92,47
torture,445,1.55,0.83,5.15,2.85,3.15,1.81,3
vagina,1025,7.27,1.70,7.00,2.18,6.27,1.86,10
tower,1016,5.57,2.31,4.38,2.29,6.33,2.35,13
valentine,469,7.80,1.40,5.90,2.96,4.90,2.42,2
toxic,446,2.00,1.54,5.92,2.64,4.25,2.70,3
vampire,470,4.76,1.64,6.24,2.49,5.24,1.44,1
toy,1017,7.00,2.10,5.75,2.79,6.60,1.88,4
vandal,471,3.20,1.91,5.95,2.24,4.75,2.34,1
tragedy,447,2.27,1.79,6.13,2.10,3.87,2.00,49
vanity,472,4.33,2.27,4.92,2.39,4.50,2.07,7
traitor,448,2.19,1.56,5.41,2.50,5.06,2.79,2
vehicle,473,6.42,1.89,4.95,2.44,6.05,2.30,35
trash,615,2.44,1.33,3.96,2.47,4.88,1.90,2
venom,474,3.71,2.08,5.50,2.37,4.38,2.13,2
trauma,616,2.44,1.76,6.12,2.83,2.80,1.85,1
vest,1026,4.94,1.16,4.33,1.88,5.11,1.75,4
travel,1018,6.64,2.13,6.09,2.47,6.41,1.94,61
victim,618,2.44,1.61,6.00,2.45,3.48,2.47,27
victory,475,7.87,1.41,6.20,2.62,7.00,2.31,61
whistle,1030,5.75,1.21,4.70,1.56,5.15,1.84,4
vigorous,476,6.92,1.44,4.75,2.67,5.17,2.08,29
white,542,6.40,1.50,3.96,1.97,6.00,1.53,365
village,477,5.88,1.22,4.31,2.21,5.25,2.29,72
whore,492,3.92,2.68,6.58,2.71,5.83,2.17,2
violent,478,3.53,2.17,6.33,2.74,5.33,3.20,33
wicked,493,2.93,1.98,5.53,2.45,4.00,2.04,9
violin,579,4.88,2.09,3.56,2.18,4.80,2.00,11
wife,1031,6.05,2.06,5.65,1.93,5.65,1.79,228
virgin,1027,6.29,1.87,6.33,2.18,5.81,2.60,35
win,494,8.35,0.86,8.38,0.89,7.12,2.66,55
virtue,479,6.15,1.69,5.20,2.33,5.85,2.39,30
windmill,1032,5.14,1.88,4.00,2.37,5.24,1.30,1
vision,480,6.87,1.60,4.47,2.36,6.00,1.46,56
window,495,6.00,1.60,4.18,2.04,4.82,1.40,119
volcano,619,5.12,2.24,6.44,2.38,3.40,2.16,2
wine,496,5.60,1.88,4.85,2.23,5.00,1.84,72
vomit,481,2.30,1.89,6.10,2.85,4.00,2.67,3
wink,1033,6.67,1.46,4.79,2.44,5.89,1.37,7
voyage,1028,6.39,1.58,5.72,2.42,5.89,2.08,17
wise,497,7.00,1.26,4.17,2.25,5.64,2.20,36
wagon,1029,5.32,0.89,4.05,2.35,5.22,1.73,55
wish,1034,6.78,1.59,5.22,2.29,5.50,1.89,110
war,482,3.31,2.78,7.86,1.56,6.46,2.37,464
wit,1035,7.32,1.29,5.95,2.09,6.00,1.94,20
warmth,483,7.10,1.59,4.15,2.52,5.35,1.27,28
woman,498,6.95,1.54,6.37,2.29,6.11,1.33,224
wasp,484,3.40,1.68,5.40,2.13,3.87,2.13,2
wonder,499,5.67,1.50,5.27,2.00,5.82,2.04,67
waste,485,3.47,2.18,4.71,2.80,5.12,2.12,35
world,500,6.13,1.68,4.93,2.46,5.38,2.63,787
watch,580,6.04,1.51,4.08,2.53,5.40,1.35,81
wounds,620,2.96,1.74,5.80,2.04,4.00,1.50,8
water,486,6.93,1.75,5.13,2.75,5.00,2.20,442
writer,1036,4.95,1.57,3.45,1.76,4.55,1.88,73
waterfall,487,7.47,1.13,6.80,2.08,5.00,2.51,2
yacht,1037,7.33,1.68,5.86,2.59,6.29,2.10,4
wealthy,488,7.58,1.38,5.17,3.04,7.00,2.45,12
yellow,545,5.64,1.89,4.08,2.10,5.56,1.29,55
weapon,489,4.69,1.74,6.00,1.62,5.94,2.11,42
young,1038,6.74,1.56,5.79,2.39,5.63,2.29,385
weary,490,4.18,2.19,3.82,2.16,4.18,1.67,17
youth,1039,6.84,1.61,5.47,2.32,5.84,2.12,82
wedding,491,7.07,1.98,6.07,2.60,6.33,2.09,32
zest,1040,6.50,1.34,6.00,1.88,6.17,1.42,5
