Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
sugar,1002,7.05,1.68,5.14,2.61,5.68,1.39,34
snob,403,3.60,1.94,5.61,2.29,5.03,2.22,1
suicide,419,1.00,0.00,6.20,3.25,3.15,3.10,17
snow,575,7.27,1.54,6.12,2.18,5.69,1.89,59
sun,532,8.12,1.48,5.27,2.92,6.73,1.76,112
snuggle,404,8.00,1.35,3.96,2.96,5.57,2.74,4
sunlight,1003,8.45,0.91,6.86,1.71,5.86,2.43,17
social,985,7.25,2.11,5.17,2.39,6.48,1.96,380
sunrise,420,7.91,1.47,5.04,3.21,5.26,2.45,10
soft,986,7.38,1.32,4.32,2.71,5.86,1.98,61
sunset,421,8.19,1.10,4.23,3.06,5.65,1.98,14
solemn,405,3.85,1.35,3.30,2.11,4.70,1.56,12
surgery,612,2.62,2.23,7.00,1.92,2.58,1.50,6
song,987,7.85,1.46,6.80,2.14,6.05,2.21,70
surprised,422,7.66,1.33,7.31,2.02,6.22,2.31,58
soothe,988,7.20,2.27,4.31,3.25,5.88,2.03,2
suspicious,423,3.55,1.28,6.45,1.76,4.00,2.03,13
sour,989,4.18,2.24,5.23,2.11,4.50,1.47,3
swamp,1004,4.90,2.00,4.40,2.04,4.70,1.03,5
space,574,6.76,1.67,5.20,2.18,5.16,2.23,184
sweetheart,424,8.52,0.73,5.61,2.74,6.09,2.29,9
spanking,990,2.33,1.83,5.39,2.73,3.22,2.28,.
swift,1005,6.36,1.65,4.91,2.49,6.27,2.03,32
sphere,991,5.23,0.53,3.86,1.62,4.95,0.59,22
swimmer,576,6.81,1.63,5.46,1.96,6.15,1.97,.
spider,610,3.04,1.51,5.92,1.96,4.54,2.06,2
syphilis,425,1.45,1.05,7.00,2.79,3.55,2.96,.
spirit,406,7.00,1.41,5.59,2.71,6.17,2.28,182
table,426,5.19,0.57,2.85,1.97,4.69,1.64,198
spouse,407,7.58,1.60,4.60,2.77,5.36,1.87,3
talent,427,7.65,1.26,6.08,1.98,6.58,1.60,40
spray,992,5.45,1.50,3.80,2.07,5.10,1.17,16
tamper,1006,4.10,2.23,5.05,2.11,4.45,2.39,1
tank,613,4.42,1.58,4.85,1.78,4.04,1.66,12
treasure,449,8.10,0.97,6.15,2.80,6.40,2.30,4
taste,1007,6.64,1.73,5.12,2.49,5.48,1.50,59
treat,1019,7.50,1.26,5.71,2.24,6.19,1.91,26
taxi,1008,4.62,1.93,3.08,2.08,4.96,1.55,16
tree,450,6.28,1.62,3.75,2.34,4.79,2.22,59
teacher,1009,5.62,2.08,3.67,2.50,5.17,2.18,80
triumph,451,8.28,1.34,5.62,2.87,7.15,2.43,22
tease,1010,3.96,2.29,5.68,2.41,4.29,2.63,6
triumphant,452,8.83,0.83,7.04,2.40,7.00,2.26,5
tender,1011,7.29,1.23,4.68,2.51,5.33,1.80,11
trophy,453,7.73,1.25,5.23,2.60,6.65,2.30,8
tennis,540,6.15,1.87,4.81,2.79,5.50,2.23,15
trouble,454,2.65,1.77,7.30,1.96,4.96,2.57,134
tense,428,3.58,1.45,6.73,1.93,5.27,2.20,15
troubled,455,2.00,1.20,6.28,2.19,3.76,2.35,31
termite,429,3.28,2.44,6.42,2.02,3.58,1.96,.
truck,577,4.96,1.95,4.96,2.03,5.15,1.89,57
terrible,430,1.65,1.13,6.69,2.45,3.15,2.57,45
trumpet,456,5.70,1.30,4.80,2.04,4.55,1.36,7
terrific,431,8.12,1.16,6.35,2.52,6.45,2.05,5
trunk,1020,5.16,1.62,4.35,2.28,5.32,1.77,8
terrified,432,1.69,1.23,8.08,2.23,2.88,2.82,7
trust,457,7.21,2.48,5.31,2.92,7.07,1.83,52
terrorist,614,1.42,0.86,7.77,1.88,2.42,2.16,.
truth,458,7.96,1.18,5.04,2.86,6.44,1.85,126
thankful,433,7.16,2.30,4.31,2.35,5.16,2.05,6
tumor,459,1.77,1.70,7.12,2.93,3.23,2.44,17
theory,434,5.20,1.47,4.45,1.79,4.90,1.83,129
tune,1021,7.45,1.22,4.55,2.15,5.55,1.57,10
thermometer,1012,4.67,1.20,4.09,2.04,4.24,1.48,.
twilight,1022,7.50,1.79,4.54,2.47,5.62,1.92,4
thief,435,1.50,1.08,7.19,1.94,3.25,2.36,8
ugly,460,2.39,1.31,5.57,2.33,4.22,2.61,21
thorn,436,3.68,1.73,5.12,2.11,4.44,1.33,3
ulcer,461,1.72,1.10,6.04,2.62,4.11,2.02,5
thought,1013,6.80,1.44,4.85,2.68,6.40,1.67,515
umbrella,578,5.12,1.67,4.32,1.65,5.20,2.06,8
thoughtful,437,7.85,1.09,5.15,2.58,5.80,2.17,11
unfaithful,462,1.85,1.43,6.62,2.89,2.85,2.74,1
thrill,438,7.85,1.41,7.81,1.90,6.54,2.02,5
unhappy,463,1.35,0.78,4.26,2.53,3.70,2.75,26
tidy,1014,6.32,1.93,4.36,2.16,5.88,2.14,1
unit,1023,5.50,1.59,3.21,2.19,4.67,1.09,103
time,439,5.38,2.08,4.24,2.62,4.28,2.21,1599
untroubled,464,7.65,1.37,4.13,2.44,5.70,2.60,.
timid,440,3.90,1.63,4.66,2.18,3.03,1.97,5
upset,465,2.00,1.17,6.25,1.94,3.90,2.40,14
tobacco,441,3.23,2.16,4.92,2.65,4.27,2.32,19
urine,617,3.65,1.67,4.23,1.99,5.38,1.94,1
tomb,442,2.55,1.82,5.05,2.72,3.30,1.95,11
useful,466,7.38,1.36,4.20,2.61,6.00,2.06,58
tool,1015,4.91,1.27,3.91,1.63,5.00,1.48,40
useless,467,1.89,1.28,4.75,2.52,3.44,2.71,17
toothache,443,1.97,1.18,5.43,2.50,3.64,1.52,.
utensil,1024,5.40,0.94,3.40,1.93,4.95,0.83,.
tornado,444,2.29,1.54,7.03,2.40,3.82,2.26,1
vacation,468,8.38,1.21,6.10,2.88,7.00,2.15,47
torture,445,1.58,0.77,7.11,2.35,3.50,2.86,3
vagina,1025,4.90,0.72,3.95,1.90,5.45,1.54,10
tower,1016,5.35,0.88,3.50,2.24,5.20,1.77,13
valentine,469,8.23,1.34,6.12,2.94,6.15,2.41,2
toxic,446,2.14,1.48,6.61,2.31,4.50,2.47,3
vampire,470,3.92,1.96,6.46,2.30,4.92,2.72,1
toy,1017,7.00,1.98,4.58,2.83,5.67,1.74,4
vandal,471,2.32,1.86,6.76,1.48,3.24,2.45,1
tragedy,447,1.50,0.86,6.31,2.95,3.28,2.54,49
vanity,472,4.29,1.79,5.00,2.32,4.91,2.04,7
traitor,448,2.25,1.83,6.10,2.47,4.25,2.65,2
vehicle,473,6.15,2.65,4.38,3.10,5.56,2.86,35
trash,615,2.88,1.56,4.35,1.83,5.58,1.77,2
venom,474,1.80,0.89,6.55,2.46,3.60,2.30,2
trauma,616,1.77,1.11,6.54,2.04,2.88,1.93,1
vest,1026,5.46,1.42,3.69,2.22,5.08,0.74,4
travel,1018,7.60,1.76,6.35,2.62,6.20,2.26,61
victim,618,1.92,1.32,6.12,2.23,1.92,1.13,27
victory,475,8.60,0.91,6.88,2.97,7.42,2.06,61
world,500,6.69,2.19,5.52,2.37,5.21,2.44,787
vigorous,476,6.74,1.61,6.38,2.56,5.52,2.31,29
wounds,620,2.08,1.29,5.85,2.01,3.85,1.67,8
village,477,5.95,1.47,3.90,1.59,4.70,1.13,72
writer,1036,6.05,2.06,5.38,2.54,4.90,1.84,73
violent,478,1.48,0.79,7.26,2.26,5.04,2.69,33
yacht,1037,6.55,1.85,5.35,2.89,5.90,2.20,4
violin,579,5.96,1.75,3.42,2.37,5.54,1.98,11
yellow,545,5.58,2.02,4.77,1.99,5.38,1.83,55
virgin,1027,6.62,1.66,4.73,1.64,6.67,2.33,35
young,1038,7.00,2.48,5.54,2.63,5.04,2.65,385
virtue,479,6.27,2.34,4.00,2.58,6.35,1.85,30
youth,1039,6.68,2.73,5.81,2.70,4.56,2.75,82
vision,480,6.50,1.95,4.75,2.50,6.03,2.18,56
zest,1040,7.00,2.43,5.52,2.96,5.88,2.33,5
