Word	Havg	StDev	GoogleRank
兹	4745	5.20	1.1429	6863
俩	4746	5.20	0.9258	5659
百人	4747	5.20	1.0880	4421
兑现	4748	5.20	1.4983	6235
西	4749	5.20	1.1066	1302
职	4750	5.20	1.1066	1741
破除	4751	5.20	1.3401	9808
老虎	4752	5.20	1.3401	8793
滨	4753	5.20	0.8081	9348
通俗	4754	5.20	1.0690	4608
单词	4755	5.20	1.0302	9968
分化	4756	5.20	1.3553	3332
也	4757	5.20	0.8330	25
us	4758	5.20	1.5649	8001
今	4759	5.20	1.2122	2551
播	4760	5.20	1.1429	4641
要	4761	5.20	1.2122	45
序	4762	5.20	0.6999	2626
物质	4763	5.20	1.0102	628
立法	4764	5.20	1.0690	1128
在于	4765	5.20	1.0880	861
净值	4766	5.20	1.3248	7951
如上	4767	5.20	0.8571	5334
乔	4768	5.20	1.1066	5110
意象	4769	5.20	0.9035	6085
预料	4770	5.20	0.9476	5713
弟子	4771	5.20	1.0102	8036
网点	4772	5.20	1.1780	4433
物流	4773	5.20	1.1606	3798
光盘	4774	5.20	0.8330	8603
亚历山大	4775	5.20	1.6537	9864
教职员	4776	5.20	1.0690	7179
in	4777	5.20	1.1066	1141
声明	4778	5.20	0.9897	1947
放出	4779	5.20	0.8806	8977
я	4780	5.20	1.2778	7675
频道	4781	5.20	1.0690	7933
市镇	4782	5.20	0.7825	6759
策	4783	5.20	1.1780	1929
查看	4784	5.20	1.0498	7983
历任	4785	5.20	0.9897	6555
列车	4786	5.20	0.9035	7907
蒸汽	4787	5.20	0.5345	9577
早晚	4788	5.20	1.0498	9671
民政	4789	5.20	1.0880	3179
李	4790	5.20	1.3553	1894
顺便	4791	5.20	1.0102	9733
是正	4792	5.20	0.7284	7842
审慎	4793	5.20	1.3553	7944
道家	4794	5.20	1.3401	8231
制作	4795	5.20	0.8081	2348
使命	4796	5.20	1.3702	2924
顾	4797	5.20	1.1429	4833
消化	4798	5.20	1.1429	4414
门	4799	5.20	0.7825	1020
椅子	4800	5.20	1.1066	6589
那个	4801	5.20	1.2454	1540
覆盖	4802	5.20	1.0302	3341
语句	4803	5.20	1.0690	6303
刚	4804	5.20	1.0302	3518
太原	4805	5.20	0.9897	7514
一口	4806	5.20	1.0102	8446
為	4807	5.20	0.8806	3695
一周	4808	5.20	1.1952	6423
馆	4809	5.20	1.3248	2143
六	4810	5.20	0.6701	165
联席	4811	5.20	1.1249	5217
集结	4812	5.20	1.0880	8125
厚	4813	5.20	0.9897	4588
分配	4814	5.20	1.0690	598
大西洋	4815	5.20	1.2778	7304
竞争	4816	5.20	1.3702	442
遗迹	4817	5.20	1.1429	5995
改建	4818	5.20	1.2936	5884
笔记	4819	5.20	1.1952	5303
就近	4820	5.20	1.2122	9766
脚下	4821	5.20	1.1429	5942
委派	4822	5.20	1.1780	5840
无需	4823	5.20	1.1952	7199
咨询	4824	5.20	0.7284	1678
转向	4825	5.20	1.0498	2747
有机体	4826	5.20	1.2289	8485
揭示	4827	5.20	1.1952	2374
命名	4828	5.20	0.9476	3734
审阅	4829	5.20	0.8571	9663
阐明	4830	5.20	1.2617	3430
本身	4831	5.20	0.8806	789
日内瓦	4832	5.20	1.4142	5644
回合	4833	5.20	1.0690	7875
汲取	4834	5.20	1.2289	5880
黄河	4835	5.20	1.0880	2815
汕头	4836	5.20	1.1952	9219
经	4837	5.20	1.0690	285
提取	4838	5.20	1.1606	3911
法典	4839	5.20	0.9897	5500
体	4840	5.20	0.8081	694
出生率	4841	5.20	1.2454	6068
点点	4842	5.20	0.9035	5481
标签	4843	5.20	1.1952	9408
shall	4844	5.20	1.4142	8750
作品	4845	5.20	1.1606	593
挂牌	4846	5.20	0.8806	9337
程	4847	5.20	1.1066	1346
纺织品	4848	5.20	0.7825	4259
总长	4849	5.20	1.1249	6241
保加利亚	4850	5.20	1.2289	7893
查询	4851	5.18	1.1192	5091
即将	4852	5.18	1.1726	2562
丁	4853	5.18	0.8497	5139
功率	4854	5.18	0.9190	7804
公私合营	4855	5.18	0.9190	6363
保证金	4856	5.18	1.4803	6372
余力	4857	5.18	1.1192	7823
沿岸	4858	5.18	0.9190	5312
攻关	4859	5.18	0.9624	7315
福特	4860	5.18	0.8965	7620
水利	4861	5.18	1.2070	2863
装备	4862	5.18	1.3045	2013
地方	4863	5.18	1.0631	213
进去	4864	5.18	1.0240	5814
宇	4865	5.18	1.1373	7650
族人	4866	5.18	1.2403	9292
测定	4867	5.18	0.7197	5698
出来	4868	5.18	1.1192	586
那里	4869	5.18	1.2567	1390
电力	4870	5.18	0.8497	2144
块	4871	5.18	1.0631	2475
情況	4872	5.18	1.2403	6378
简略	4873	5.18	1.1008	8765
东欧	4874	5.18	1.2567	3878
可见	4875	5.18	1.0631	1452
武汉	4876	5.18	1.5077	3528
各个	4877	5.18	1.0039	906
大队	4878	5.18	0.8003	3551
光学	4879	5.18	0.7743	8519
国共	4880	5.18	1.0437	3913
population	4881	5.18	1.4525	8159
签订	4882	5.18	1.1008	1593
篮球	4883	5.18	1.5477	6810
指针	4884	5.18	1.0039	6383
气象	4885	5.18	1.0631	3785
战国	4886	5.18	1.1726	5921
型号	4887	5.18	1.3045	6568
商榷	4888	5.18	1.1192	8842
喻	4889	5.18	1.1551	6431
理由	4890	5.18	0.9833	1727
定购	4891	5.18	0.8965	8195
there	4892	5.18	0.8734	7493
加工	4893	5.18	1.2403	1181
价格	4894	5.18	1.1373	336
论据	4895	5.18	0.6908	7148
纪律	4896	5.18	1.1373	1641
已经	4897	5.18	0.9624	448
民航	4898	5.18	1.1551	4810
作出	4899	5.18	1.0821	618
映	4900	5.18	0.9190	3603
宅	4901	5.18	1.1726	8381
大和	4902	5.18	1.3952	8941
议事	4903	5.18	0.8254	5156
工人	4904	5.18	1.0039	441
线	4905	5.18	0.8734	1361
宾馆	4906	5.18	1.5609	4374
供销	4907	5.18	0.8254	4805
诸侯	4908	5.18	1.2728	6393
承担	4909	5.18	1.4241	994
诸如	4910	5.18	0.8497	3172
协	4911	5.18	0.7475	2461
东部	4912	5.18	1.1726	2544
统筹	4913	5.18	0.9409	4662
铁	4914	5.18	0.7475	4434
原因	4915	5.18	0.8965	395
about	4916	5.18	0.6606	8565
手工业	4917	5.18	1.3200	2069
秘密	4918	5.18	1.4097	1713
三国	4919	5.18	1.0821	3570
取决	4920	5.18	0.8965	2151
行列	4921	5.18	0.8497	5889
采用	4922	5.18	1.1551	808
化身	4923	5.18	1.1008	9711
昆虫	4924	5.18	1.4803	8942
电线	4925	5.18	1.0437	9918
好像	4926	5.18	1.2237	3589
社团	4927	5.18	1.0039	4391
题	4928	5.18	1.1192	733
磁带	4929	5.18	1.1192	9848
射	4930	5.18	1.3952	6467
院	4931	5.18	1.2403	704
凭借	4932	5.18	1.3045	3964
币值	4933	5.18	0.8734	9788
庭	4934	5.18	1.1551	3190
等同	4935	5.18	1.0039	6310
派	4936	5.18	1.4803	1173
惯	4937	5.18	1.1373	6069
控股	4938	5.18	1.2728	4052
恩格斯	4939	5.18	1.6123	2677
province	4940	5.18	1.1899	8677
掩护	4941	5.18	1.3656	4944
火柴	4942	5.18	1.3656	9661
老挝	4943	5.18	1.0437	7633
の	4944	5.18	1.1373	6295
坦	4945	5.18	0.9624	7618
工作	4946	5.18	1.1008	34
他人	4947	5.18	1.0039	1949
足球	4948	5.18	1.3354	4840
主机	4949	5.18	0.7743	7002
草	4950	5.18	0.9190	4890
若干	4951	5.18	1.1726	1813
民生	4952	5.18	1.0631	5616
將	4953	5.18	1.1008	7044
括	4954	5.18	0.8965	2726
出自	4955	5.18	0.9833	6611
版权	4956	5.18	0.9624	5093
唯	4957	5.18	1.0240	1634
期间	4958	5.18	0.9190	673
卡特	4959	5.18	1.1551	7359
学制	4960	5.18	0.7475	9473
省份	4961	5.18	0.8003	5746
h	4962	5.18	0.6289	3492
在家	4963	5.18	1.4665	4558
称	4964	5.18	0.6606	893
犹太	4965	5.18	1.3805	6528
基于	4966	5.18	1.2070	2107
输出	4967	5.18	1.4241	2839
地质	4968	5.18	0.9833	3199
北上	4969	5.18	0.7743	9179
届	4970	5.18	0.8254	690
先生	4971	5.18	1.0821	765
翻译	4972	5.18	1.3656	2052
主办	4973	5.18	1.0039	4092
评级	4974	5.18	1.2887	9094
辽宁	4975	5.18	1.0039	3462
船舶	4976	5.18	1.2070	3319
位置	4977	5.18	1.1551	1424
动向	4978	5.18	1.1899	5700
许久	4979	5.18	1.2567	9153
必由	4980	5.18	1.2567	9007
数	4981	5.18	0.8734	810
合成	4982	5.18	0.8497	5084
ch	4983	5.18	1.1726	9681
頁	4984	5.18	0.9624	3908
这些	4985	5.18	0.6289	101
协定	4986	5.18	1.0240	1613
南京	4987	5.18	0.8497	1927
from	4988	5.18	1.0631	3776
致	4989	5.18	1.2403	2085
四部	4990	5.18	0.8965	9977
Ш	4991	5.18	1.2237	8347
按期	4992	5.18	1.1008	7398
总务	4993	5.18	1.2728	6418
瓦尔	4994	5.18	1.0821	8859
英文	4995	5.18	1.3354	3224
资料	4996	5.18	1.0631	345
文字	4997	5.18	1.2728	921
核定	4998	5.18	0.9624	4147
指定	4999	5.18	0.8734	1953
g	5000	5.18	1.1192	5208
摆	5001	5.18	1.2070	4043
直至	5002	5.18	1.0240	3627
出示	5003	5.18	1.0821	9750
修	5004	5.18	1.1192	4140
概况	5005	5.18	0.8965	5155
外出	5006	5.18	1.1008	5564
核对	5007	5.18	1.2403	7029
透视	5008	5.18	1.2237	8359
体验	5009	5.18	1.3045	2566
集约	5010	5.18	1.0039	6785
海里	5011	5.18	0.9190	7881
而	5012	5.18	0.9190	35
宣布	5013	5.18	1.0821	1602
镜	5014	5.18	1.1551	7600
有史	5015	5.18	0.9190	8148
打响	5016	5.18	1.3200	9148
结尾	5017	5.18	1.2403	6006
规格	5018	5.18	0.8497	4537
作为	5019	5.18	0.6606	183
监护人	5020	5.18	1.1192	7598
慎	5021	5.18	1.4241	9004
安置	5022	5.18	1.1899	3263
決定	5023	5.18	1.0039	8937
公共	5024	5.18	1.3656	991
历年	5025	5.18	1.0437	6560
责任	5026	5.18	1.2887	465
赶紧	5027	5.18	1.2728	8863
风云	5028	5.18	1.4384	7121
外贸	5029	5.18	1.2070	1885
步伐	5030	5.18	1.0631	2462
三	5031	5.18	0.9190	49
舰队	5032	5.18	1.2237	5083
陈列	5033	5.18	1.0039	5419
教会	5034	5.18	1.3200	3578
they	5035	5.18	1.2567	7110
枕	5036	5.18	0.9190	5969
大宗	5037	5.18	1.1373	8878
期刊	5038	5.18	1.3952	4432
跑	5039	5.18	0.9833	3082
识别	5040	5.18	0.7197	4538
西安	5041	5.18	1.1551	4502
岩石	5042	5.18	1.2567	7160
输送	5043	5.18	0.7475	7873
问	5044	5.18	1.0240	723
装置	5045	5.18	0.8254	4343
充当	5046	5.18	1.2237	5397
尚	5047	5.18	0.9833	2020
侧重	5048	5.18	1.1192	5133
所要	5049	5.18	0.6289	3980
后期	5050	5.18	1.0437	2648
公认	5051	5.18	1.3952	4440
地面	5052	5.18	1.0039	3411
需要	5053	5.18	1.4384	167
文章	5054	5.18	1.2887	617
宣	5055	5.18	1.2403	4536
名词	5056	5.18	0.9833	4573
将近	5057	5.18	0.9624	5494
驾驶	5058	5.18	1.1192	3803
不妨	5059	5.18	1.0821	4563
开关	5060	5.18	0.8497	9103
迁	5061	5.18	1.3200	4879
随即	5062	5.18	1.3045	4621
放款	5063	5.18	1.3506	8783
状态	5064	5.18	0.9190	814
它们	5065	5.18	0.9409	464
及	5066	5.18	0.9624	127
转动	5067	5.18	1.1008	7480
里	5068	5.18	0.9409	222
初期	5069	5.18	1.1726	1711
椅	5070	5.18	0.6606	6981
心思	5071	5.18	1.2728	6477
打开	5072	5.18	0.9624	2211
一头	5073	5.18	1.0039	6889
符号	5074	5.18	1.0039	2556
包括	5075	5.18	0.5602	249
外长	5076	5.18	1.1373	6030
名义	5077	5.18	0.9624	2589
州	5078	5.18	1.0437	1764
化石	5079	5.16	0.9971	7443
赛	5080	5.16	1.0947	3921
还	5081	5.16	1.1843	62
钢材	5082	5.16	0.9765	4918
科目	5083	5.16	0.7384	4867
卖	5084	5.16	1.0947	3219
治	5085	5.16	1.2993	1442
一体	5086	5.16	0.8418	2187
概念	5087	5.16	1.2835	862
蓄	5088	5.16	0.6503	8314
年初	5089	5.16	0.8657	2139
工匠	5090	5.16	0.9971	7844
下午	5091	5.16	1.1132	1702
旅行社	5092	5.16	1.4896	9786
施	5093	5.16	1.3607	2125
循环	5094	5.16	0.7918	2611
史诗	5095	5.16	1.3756	8366
度	5096	5.16	1.0174	659
语气	5097	5.16	0.9553	9051
邦	5098	5.16	0.9765	5959
伸	5099	5.16	0.9116	6715
整整	5100	5.16	0.7656	5533
施行	5101	5.16	1.0759	3668
认购	5102	5.16	0.6181	8525
缔约国	5103	5.16	1.2182	4073
近期	5104	5.16	0.7918	3739
住户	5105	5.16	1.0759	9067
economy	5106	5.16	1.4479	9287
区划	5107	5.16	0.9553	4168
稿件	5108	5.16	0.7918	6196
针织	5109	5.16	1.0174	9913
出现	5110	5.16	1.2014	260
浪潮	5111	5.16	1.5954	4783
描述	5112	5.16	1.2014	1690
电源	5113	5.16	0.7384	7890
推论	5114	5.16	1.0373	7277
结果	5115	5.16	1.0947	409
中期	5116	5.16	0.7918	2621
人物	5117	5.16	1.0174	640
选票	5118	5.16	1.3303	7972
不惜	5119	5.16	1.6458	8141
风雨	5120	5.16	1.3303	5822
观测	5121	5.16	1.2014	4412
较量	5122	5.16	1.2835	9273
葡萄牙	5123	5.16	0.7918	4968
私营	5124	5.16	1.4337	1618
用品	5125	5.16	0.9765	3939
编辑	5126	5.16	1.2014	1259
空间	5127	5.16	1.2513	1182
键	5128	5.16	0.6181	4618
罗斯	5129	5.16	0.8172	5478
total	5130	5.16	0.9765	4778
赴	5131	5.16	1.0759	5007
日子	5132	5.16	1.0568	2245
器械	5133	5.16	0.7103	6795
棉	5134	5.16	0.5095	7895
门口	5135	5.16	0.8418	8551
支部	5136	5.16	1.5167	3961
中心	5137	5.16	1.4479	364
它	5138	5.16	0.6503	75
乘	5139	5.16	1.0947	5200
中层	5140	5.16	1.2014	8449
实况	5141	5.16	1.2182	8458
出現	5142	5.16	0.9971	9256
无论	5143	5.16	1.2513	923
念	5144	5.16	1.2014	2654
城墙	5145	5.16	1.2014	9014
缔约	5146	5.16	1.1493	4787
物件	5147	5.16	0.7918	8791
国	5148	5.16	1.1132	131
蛋	5149	5.16	1.0947	8891
印度洋	5150	5.16	1.4049	8499
行使	5151	5.16	0.5841	1841
幼	5152	5.16	1.4619	9104
群体	5153	5.16	0.9553	1736
改组	5154	5.16	0.9765	2843
详	5155	5.16	1.4049	7246
服	5156	5.16	1.2349	2413
时时	5157	5.16	1.1493	8198
改选	5158	5.16	1.0568	9080
征求	5159	5.16	1.0373	4594
通电	5160	5.16	0.9765	6767
起身	5161	5.16	0.9337	8237
社论	5162	5.16	1.4479	5320
课程	5163	5.16	0.9116	1835
按照	5164	5.16	0.9116	475
合乎	5165	5.16	0.9116	4546
these	5166	5.16	1.1493	8069
连	5167	5.16	1.0174	1714
等级	5168	5.16	1.3303	2117
态	5169	5.16	1.2513	2563
日趋	5170	5.16	1.3303	3984
о	5171	5.16	1.2182	6312
简称	5172	5.16	0.9553	3273
字眼	5173	5.16	1.1314	9026
牌照	5174	5.16	1.3303	9215
冲	5175	5.16	1.0947	4581
只要	5176	5.16	0.7384	980
口中	5177	5.16	1.0759	8778
予以	5178	5.16	0.9337	1413
法则	5179	5.16	0.7918	4622
文中	5180	5.16	1.2835	2749
生产	5181	5.16	1.1669	50
廉价	5182	5.16	1.6704	5968
仲	5183	5.16	0.9765	5586
种类	5184	5.16	1.0568	2435
独家	5185	5.16	1.4194	8656
注	5186	5.16	0.7656	2647
来临	5187	5.16	0.9337	6505
大众化	5188	5.16	1.1669	6992
委员会	5189	5.16	1.2014	265
继	5190	5.16	1.1314	3648
连队	5191	5.16	0.9971	8371
购置	5192	5.16	1.0759	7652
尺度	5193	5.16	0.9553	3599
its	5194	5.16	0.8657	5927
联结	5195	5.16	0.7918	9491
两边	5196	5.16	0.9337	9322
谓	5197	5.16	1.0759	6597
整治	5198	5.16	1.2349	7714
河水	5199	5.16	0.9971	9758
频	5200	5.16	1.2349	7958
轮廓	5201	5.16	1.1493	6998
旁边	5202	5.16	0.9337	4306
常年	5203	5.16	0.8418	9932
意思	5204	5.16	1.2349	1322
从	5205	5.16	1.0174	63
余年	5206	5.16	1.3607	3583
放手	5207	5.16	1.0947	9192
多么	5208	5.16	1.1314	3116
地	5209	5.16	0.9116	40
集装箱	5210	5.16	0.8889	8385
寺院	5211	5.16	1.1493	6605
续	5212	5.16	0.8657	2508
反映论	5213	5.16	1.2182	9454
右边	5214	5.16	1.1132	8678
权衡	5215	5.16	1.0759	8996
泽	5216	5.16	1.2182	4371
未婚	5217	5.16	1.2349	8900
全文	5218	5.16	0.8172	6125
物品	5219	5.16	0.5095	2450
宪政	5220	5.16	1.1493	6064
宫廷	5221	5.16	1.2835	7867
载	5222	5.16	1.2014	2479
维吾尔	5223	5.16	1.2513	6268
考证	5224	5.16	1.3149	6882
事件	5225	5.16	1.1493	976
天线	5226	5.16	1.1132	9579
放下	5227	5.16	1.1493	7444
年级	5228	5.16	0.7384	4297
半月	5229	5.16	0.8418	6907
叙述	5230	5.16	0.9337	2433
措施	5231	5.16	0.9765	471
奠基	5232	5.16	1.0373	9267
试点	5233	5.16	1.1132	2000
工农	5234	5.16	1.1132	3704
民众	5235	5.16	0.8418	1986
history	5236	5.16	1.2349	9221
自从	5237	5.16	0.7103	3837
会谈	5238	5.16	1.1843	3126
讲	5239	5.16	1.1843	1091
宗教	5240	5.16	1.4194	910
队伍	5241	5.16	1.2182	1107
幕	5242	5.16	0.7656	7989
帕	5243	5.16	1.0947	6223
年秋	5244	5.16	1.0174	4571
概	5245	5.16	0.8657	6130
三省	5246	5.16	1.2993	8818
为	5247	5.16	0.8889	15
段落	5248	5.16	0.9765	6962
主张	5249	5.16	1.0373	964
估算	5250	5.16	1.0174	5501
尼泊尔	5251	5.16	1.1669	8439
签字	5252	5.16	1.0759	3690
批量	5253	5.16	0.7384	5286
执政	5254	5.16	1.2835	3682
显	5255	5.16	0.7656	2729
一阵	5256	5.16	0.7103	5790
总称	5257	5.16	0.9553	8652
主体	5258	5.16	1.0568	708
考察	5259	5.16	1.1493	1345
半导体	5260	5.16	0.8418	7440
居住	5261	5.16	1.2349	1554
前身	5262	5.16	1.0373	8954
民间	5263	5.16	1.1493	1307
场地	5264	5.16	0.8657	6134
国之	5265	5.16	0.9337	4325
天主教	5266	5.16	1.2993	4551
趋势	5267	5.14	1.0104	997
再度	5268	5.14	1.2456	5625
于	5269	5.14	0.8332	60
为了	5270	5.14	0.9691	242
纪	5271	5.14	1.0882	2900
运用	5272	5.14	0.6704	885
客房	5273	5.14	1.1608	9586
篇幅	5274	5.14	0.9899	5004
胚胎	5275	5.14	1.1430	9833
人世	5276	5.14	0.9691	8539
初	5277	5.14	0.8084	1104
资源	5278	5.14	1.1782	368
自治州	5279	5.14	1.1068	9208
调解	5280	5.14	1.3554	2920
灵魂	5281	5.14	1.6414	2273
倘若	5282	5.14	1.1608	4782
中西	5283	5.14	0.8809	6685
厂家	5284	5.14	0.7287	5293
含	5285	5.14	1.0104	3340
呼应	5286	5.14	1.3095	8537
指标	5287	5.14	1.1782	849
评论	5288	5.14	0.7287	1490
近似	5289	5.14	1.2291	5421
同時	5290	5.14	1.0304	9201
臂	5291	5.14	1.1954	4230
有形	5292	5.14	1.2938	5944
水土	5293	5.14	1.2618	3787
统称	5294	5.14	1.2456	8721
移居	5295	5.14	1.3095	9128
层	5296	5.14	0.9899	1233
整	5297	5.14	1.0500	2221
陆	5298	5.14	1.1250	3893
洛克	5299	5.14	0.9478	8540
司机	5300	5.14	1.0692	5068
诸	5301	5.14	0.9260	2890
地域	5302	5.14	0.9691	2514
实地	5303	5.14	0.7562	3666
换	5304	5.14	0.9691	2434
拓	5305	5.14	1.2779	4139
角逐	5306	5.14	1.0500	9620
领地	5307	5.14	0.9260	8100
县	5308	5.14	1.1608	927
饮	5309	5.14	1.1954	6488
钢铁	5310	5.14	1.2456	3010
调试	5311	5.14	0.7287	8690
身分	5312	5.14	1.1782	5396
斤	5313	5.14	0.6704	4312
谈	5314	5.14	0.8574	1208
宪章	5315	5.14	1.2938	5979
意味	5316	5.14	1.0304	1433
年底	5317	5.14	0.9691	1312
若是	5318	5.14	0.9478	8787
心脏	5319	5.14	1.1782	4893
舰艇	5320	5.14	1.4287	9531
必然性	5321	5.14	1.3403	4030
史料	5322	5.14	1.2456	3067
层面	5323	5.14	0.9691	3043
情报	5324	5.14	1.2456	1801
婚姻法	5325	5.14	1.2456	5806
节	5326	5.14	0.7827	578
输入	5327	5.14	0.7827	3296
助长	5328	5.14	1.3704	7644
中原	5329	5.14	1.3554	5059
内河	5330	5.14	0.8084	9775
因果	5331	5.14	1.1608	4488
方向	5332	5.14	1.0104	822
笔下	5333	5.14	0.9899	6650
例	5334	5.14	0.5718	1794
票据	5335	5.14	0.7827	4837
谈话	5336	5.14	1.1782	1867
商讨	5337	5.14	0.8574	7921
立	5338	5.14	0.7287	1098
交织	5339	5.14	0.6704	5835
鼠标	5340	5.14	0.8332	7168
小区	5341	5.14	1.0304	5272
不失为	5342	5.14	1.2938	8455
有人	5343	5.14	0.9478	924
短篇	5344	5.14	0.8084	5891
三民	5345	5.14	1.1250	4925
转轨	5346	5.14	1.4144	5300
村	5347	5.14	1.2456	1522
玻璃	5348	5.14	0.9478	5289
same	5349	5.14	1.0304	9940
传	5350	5.14	0.8332	1466
马克	5351	5.14	0.9260	3145
衔接	5352	5.14	0.7287	5215
鉴于	5353	5.14	0.8574	2801
产物	5354	5.14	1.1250	2696
报道	5355	5.14	1.1430	1475
定型	5356	5.14	0.8574	8639
半岛	5357	5.14	1.1250	4071
本位	5358	5.14	1.2618	7311
番	5359	5.14	0.5349	3249
只有	5360	5.14	1.0500	319
汽	5361	5.14	0.9037	8213
遵从	5362	5.14	1.1608	9854
证据	5363	5.14	1.3704	1855
场	5364	5.14	1.0304	635
跳	5365	5.14	1.1782	6170
对照	5366	5.14	1.0882	3992
着重	5367	5.14	1.4429	2357
指正	5368	5.14	1.2291	9000
维	5369	5.14	1.1782	1774
理论	5370	5.14	0.8332	298
修理	5371	5.14	1.3403	4894
张	5372	5.14	1.2618	1482
海拔	5373	5.14	1.0882	5558
q	5374	5.14	0.9260	5771
世代	5375	5.14	1.1954	8816
矩	5376	5.14	0.7562	9891
劳动力	5377	5.14	1.1068	864
印度	5378	5.14	1.4287	1229
呼	5379	5.14	1.0500	7513
编写	5380	5.14	1.0500	2425
货源	5381	5.14	1.1250	6617
例证	5382	5.14	0.9478	5387
召开	5383	5.14	1.0500	727
and	5384	5.14	0.6704	845
稿	5385	5.14	0.9037	3730
设立	5386	5.14	0.9260	1083
旦	5387	5.14	1.0104	5495
轨迹	5388	5.14	0.9260	5575
浓缩	5389	5.14	1.4144	8807
传教	5390	5.14	1.4709	3864
常任	5391	5.14	1.1954	9578
老板	5392	5.14	1.3250	4177
材	5393	5.14	1.1954	3847
抚恤	5394	5.14	1.5120	9032
两极	5395	5.14	1.2618	8035
题目	5396	5.14	0.9037	4953
手册	5397	5.14	1.0500	5734
旅馆	5398	5.14	1.0304	6294
询问	5399	5.14	1.0304	4477
接	5400	5.14	1.0304	1370
同月	5401	5.14	1.0104	8022
约翰逊	5402	5.14	1.2618	10000
趋向	5403	5.14	0.9478	3549
集成	5404	5.14	1.0500	4614
眼中	5405	5.14	1.0882	6302
表格	5406	5.14	0.6704	6509
be	5407	5.14	1.0500	3572
长征	5408	5.14	1.4709	8447
职位	5409	5.14	0.9260	3696
因	5410	5.14	0.6704	460
悉	5411	5.14	0.8809	7302
财务	5412	5.14	0.9037	1244
伊斯兰	5413	5.14	1.4144	3020
二天	5414	5.14	0.7562	2036
机能	5415	5.14	0.9037	6793
现在	5416	5.14	1.1954	271
归结	5417	5.14	1.2618	4768
倍	5418	5.14	0.9260	1161
辩证法	5419	5.14	0.7827	3355
年来	5420	5.14	0.9037	725
万分	5421	5.14	1.6538	8759
体例	5422	5.14	0.8809	9651
迈	5423	5.14	0.9691	4026
报名	5424	5.14	0.9037	6880
最	5425	5.14	1.6783	201
大事	5426	5.14	1.2779	3385
并举	5427	5.14	0.8084	8470
这	5428	5.14	1.0304	8
报告	5429	5.14	0.9691	390
水质	5430	5.14	1.1068	6576
made	5431	5.14	0.8809	9557
那样	5432	5.14	1.1782	1005
述	5433	5.14	1.2779	1514
竭尽	5434	5.14	1.4984	8572
国际法	5435	5.14	1.2938	4527
携带	5436	5.14	1.1250	5541
算法	5437	5.14	1.0882	6047
公元	5438	5.14	0.9037	1796
想法	5439	5.14	1.1430	2423
圳	5440	5.14	0.7287	9532
内蒙古	5441	5.14	1.2618	5221
w	5442	5.14	1.3852	2459
自然人	5443	5.14	1.4144	6945
农户	5444	5.14	1.3852	2513
史实	5445	5.14	0.9691	9593
客运	5446	5.14	0.8084	7639
很	5447	5.14	0.9899	83
同人	5448	5.14	1.0500	8748
棉纱	5449	5.14	0.8574	9695
以为	5450	5.14	1.1782	1461
身后	5451	5.14	0.9260	7432
項	5452	5.14	0.5718	6875
排	5453	5.14	0.9260	3062
乡下	5454	5.14	1.3704	7130
长度	5455	5.14	0.8084	4568
机器	5456	5.14	1.1608	1454
事	5457	5.14	1.1430	332
防卫	5458	5.14	1.4429	7226
器	5459	5.14	0.9899	1357
评选	5460	5.14	1.3403	6349
传导	5461	5.14	1.2618	8949
提纲	5462	5.14	1.3852	6013
酌情	5463	5.14	1.0104	8478
版面	5464	5.14	1.0692	9740
图像	5465	5.14	1.5120	4340
生成	5466	5.14	1.0500	4081
导	5467	5.14	0.8574	1519
入境	5468	5.14	0.8574	6655
坐	5469	5.14	1.0104	2138
卫	5470	5.14	0.9899	3104
一块	5471	5.14	0.9691	1974
称谓	5472	5.14	1.0104	8176
水准	5473	5.14	0.9478	5183
实质	5474	5.14	0.9899	1404
掀起	5475	5.14	1.0104	3835
车间	5476	5.14	1.2779	3132
二条	5477	5.14	0.9691	2243
大半	5478	5.14	0.9478	8804
传输	5479	5.14	1.1250	4117
互	5480	5.14	1.1430	2761
查找	5481	5.14	1.0500	6766
主人	5482	5.14	1.1068	3063
同盟会	5483	5.14	1.4570	6293
五	5484	5.14	0.9899	86
住房	5485	5.14	1.1430	1957
世间	5486	5.14	1.0500	7954
居	5487	5.14	0.9478	2390
常用	5488	5.14	0.8809	4112
单项	5489	5.14	0.8809	6219
山地	5490	5.14	1.0692	6358
抬	5491	5.14	1.0104	7877
读	5492	5.14	1.1430	1914
及早	5493	5.14	1.0500	8464
要是	5494	5.14	1.0104	2819
两	5495	5.14	1.0882	76
每	5496	5.14	0.7827	231
常委	5497	5.14	1.0304	1664
监事会	5498	5.14	1.1068	6175
而今	5499	5.12	1.1542	8820
合同	5500	5.12	1.1364	572
析	5501	5.12	0.7183	2968
统计	5502	5.12	0.7990	546
的确	5503	5.12	1.1183	2553
la	5504	5.12	0.7990	9024
统	5505	5.12	0.6893	1429
海关	5506	5.12	1.1891	2272
这么	5507	5.12	0.8241	1480
國	5508	5.12	1.1891	5219
案例	5509	5.12	1.0428	4320
涵义	5510	5.12	1.0428	5799
先是	5511	5.12	1.0622	7005
不但	5512	5.12	1.0812	1416
原子	5513	5.12	1.0428	4479
生产线	5514	5.12	1.1891	4872
概括	5515	5.12	1.1183	2044
训练	5516	5.12	1.0999	1152
出售	5517	5.12	1.1364	2516
来得	5518	5.12	1.2061	9065
早期	5519	5.12	1.0029	2091
